direction,entry_time,entry_price,sl_price,tp_price,sl_distance,risk_amount,macd_line,macd_sig,exit_price,exit_time,result,pnl,capital,year
BUY,2021-01-04 16:30:00,1941.92,1936.66,1947.18,5.26,300.0,4.952,4.3207,1936.66,2021-01-04 17:00:00,SL,-300.0,9700.0,2021
SELL,2021-01-06 04:45:00,1944.03,1949.94,1938.12,5.91,291.0,-0.9009,0.0253,1949.94,2021-01-06 10:00:00,SL,-291.0,9409.0,2021
BUY,2021-01-13 03:15:00,1859.84,1854.61,1865.07,5.23,282.27,3.0638,2.986,1854.61,2021-01-13 10:30:00,SL,-282.27,9126.73,2021
BUY,2021-01-18 15:45:00,1835.25,1832.82,1837.68,2.43,273.8,0.6685,0.6115,1837.68,2021-01-18 16:00:00,TP,273.8,9400.53,2021
BUY,2021-01-19 08:45:00,1840.78,1837.34,1844.22,3.44,282.02,0.4497,0.4105,1844.22,2021-01-19 10:15:00,TP,282.02,9682.55,2021
SELL,2021-01-19 21:15:00,1838.93,1841.36,1836.5,2.43,290.48,0.0964,0.2809,1841.36,2021-01-20 01:00:00,SL,-290.48,9392.07,2021
BUY,2021-01-20 02:00:00,1842.28,1839.42,1845.14,2.86,281.76,0.3771,0.046,1845.14,2021-01-20 03:00:00,TP,281.76,9673.83,2021
SELL,2021-01-21 14:45:00,1867.21,1872.41,1862.01,5.2,290.21,-0.2191,0.1657,1862.01,2021-01-21 15:45:00,TP,290.21,9964.04,2021
SELL,2021-01-21 17:45:00,1864.06,1867.07,1861.05,3.01,298.92,-2.0667,-1.8483,1867.07,2021-01-21 20:45:00,SL,-298.92,9665.12,2021
SELL,2021-01-25 07:30:00,1851.73,1856.59,1846.87,4.86,289.95,-0.5974,-0.3142,1856.59,2021-01-25 12:30:00,SL,-289.95,9375.17,2021
BUY,2021-01-25 15:00:00,1865.08,1861.26,1868.9,3.82,281.26,3.7365,3.1019,1861.26,2021-01-25 16:30:00,SL,-281.26,9093.91,2021
BUY,2021-01-26 01:15:00,1856.85,1854.38,1859.32,2.47,272.82,-0.4679,-0.7582,1854.38,2021-01-26 02:00:00,SL,-272.82,8821.09,2021
SELL,2021-01-26 09:15:00,1853.82,1855.9,1851.74,2.08,264.63,-0.9313,-0.2461,1851.74,2021-01-26 09:30:00,TP,264.63,9085.72,2021
BUY,2021-01-27 07:30:00,1849.79,1845.78,1853.8,4.01,272.57,-0.8215,-1.4435,1845.78,2021-01-27 10:15:00,SL,-272.57,8813.15,2021
BUY,2021-01-27 20:15:00,1846.21,1844.11,1848.31,2.1,264.39,0.629,0.4906,1848.31,2021-01-27 21:00:00,TP,264.39,9077.54,2021
SELL,2021-01-29 22:00:00,1848.5,1851.41,1845.59,2.91,272.33,-3.337,-2.5933,1845.59,2021-01-29 22:45:00,TP,272.33,9349.87,2021
BUY,2021-02-01 16:30:00,1868.15,1861.47,1874.83,6.68,280.5,1.8121,1.2668,1861.47,2021-02-01 17:30:00,SL,-280.5,9069.37,2021
SELL,2021-02-03 07:30:00,1838.86,1842.8,1834.92,3.94,272.08,0.5587,0.9825,1834.92,2021-02-03 09:45:00,TP,272.08,9341.45,2021
BUY,2021-02-03 15:15:00,1839.73,1835.83,1843.63,3.9,280.24,0.3077,-0.5625,1835.83,2021-02-03 16:30:00,SL,-280.24,9061.21,2021
SELL,2021-02-10 03:00:00,1835.03,1837.62,1832.44,2.59,271.84,-0.8092,-0.7168,1837.62,2021-02-10 03:45:00,SL,-271.84,8789.37,2021
SELL,2021-02-11 02:30:00,1840.64,1842.18,1839.1,1.54,263.68,-0.2735,-0.0005,1839.1,2021-02-11 03:30:00,TP,263.68,9053.05,2021
BUY,2021-02-11 14:15:00,1843.46,1840.77,1846.15,2.69,271.59,0.6835,0.6802,1846.15,2021-02-11 15:15:00,TP,271.59,9324.64,2021
SELL,2021-02-12 15:00:00,1815.37,1819.27,1811.47,3.9,279.74,-1.2476,-1.1512,1811.47,2021-02-12 15:30:00,TP,279.74,9604.38,2021
BUY,2021-02-24 13:15:00,1809.13,1806.46,1811.8,2.67,288.13,-0.1775,-0.6471,1806.46,2021-02-24 14:45:00,SL,-288.13,9316.25,2021
